,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
276,570,36,lemon peel,Turnip,1278.0,fruity,0.13906
277,633,36,neroli,Turnip,15.046966667,floral,0.00164
278,846,36,watercress,Turnip,0.2573,fruity,3e-05
279,847,36,watery,Turnip,0.606100023,wine_like,7e-05
280,446,37,diphenyl oxide,Pigeon pea,1400.25,green,0.09241
281,465,37,everlasting,Pigeon pea,2501.5,floral,0.16509
282,474,37,feta cheese,Pigeon pea,4007.0,milky,0.26445
283,484,37,foliage,Pigeon pea,2093.5,floral,0.13816
284,556,37,ketone,Pigeon pea,2530.0,chemical,0.16697
285,570,37,lemon peel,Pigeon pea,2620.0,fruity,0.17291
286,446,38,diphenyl oxide,Tea,3.0,green,0.01616
287,453,38,dry,Tea,0.3,smoky,0.00162
288,455,38,dusty,Tea,154.0,smoky,0.82979
289,465,38,everlasting,Tea,3.0,floral,0.01616
290,474,38,feta cheese,Tea,3.0,milky,0.01616
291,484,38,foliage,Tea,5.0,floral,0.02694
292,556,38,ketone,Tea,4.0,chemical,0.02155
293,570,38,lemon peel,Tea,3.0,fruity,0.01616
294,633,38,neroli,Tea,10.288454533,floral,0.05544
295,446,40,diphenyl oxide,Pepper,2615.75,green,0.08279
296,465,40,everlasting,Pepper,5598.5,floral,0.1772
297,474,40,feta cheese,Pepper,5268.15,milky,0.16675
298,484,40,foliage,Pepper,5102.9,floral,0.16152
299,556,40,ketone,Pepper,5214.2,chemical,0.16504
300,570,40,lemon peel,Pepper,7793.85,fruity,0.24669
301,633,40,neroli,Pepper,0.09,floral,0.0
302,446,41,diphenyl oxide,Papaya,41.9,green,0.06476
303,465,41,everlasting,Papaya,81.75,floral,0.12635
304,474,41,feta cheese,Papaya,178.4,milky,0.27573
305,484,41,foliage,Papaya,147.55,floral,0.22805
306,556,41,ketone,Papaya,115.65,chemical,0.17875
307,570,41,lemon peel,Papaya,81.75,fruity,0.12635
308,633,41,neroli,Papaya,0.01,floral,2e-05
309,446,42,diphenyl oxide,Safflower,1700.0,green,0.11546
310,465,42,everlasting,Safflower,3283.0,floral,0.22297
311,474,42,feta cheese,Safflower,1710.0,milky,0.11614
312,484,42,foliage,Safflower,3234.0,floral,0.21964
313,556,42,ketone,Safflower,2472.0,chemical,0.16789
314,570,42,lemon peel,Safflower,2325.0,fruity,0.15791
315,446,43,diphenyl oxide,Caraway,642.0,green,0.10919
316,465,43,everlasting,Caraway,1037.0,floral,0.17638
317,474,43,feta cheese,Caraway,1031.0,milky,0.17536
318,484,43,foliage,Caraway,1322.0,floral,0.22485
319,556,43,ketone,Caraway,914.0,chemical,0.15546
320,570,43,lemon peel,Caraway,917.0,fruity,0.15597
321,633,43,neroli,Caraway,16.399999619,floral,0.00279
322,446,44,diphenyl oxide,Pecan nut,2373.0,green,0.10364
323,465,44,everlasting,Pecan nut,4629.0,floral,0.20218
324,474,44,feta cheese,Pecan nut,2357.0,milky,0.10294
325,484,44,foliage,Pecan nut,5039.0,floral,0.22008
326,556,44,ketone,Pecan nut,4435.0,chemical,0.1937
327,570,44,lemon peel,Pecan nut,4063.0,fruity,0.17745
328,446,45,diphenyl oxide,Chestnut,108.0,green,0.09574
329,465,45,everlasting,Chestnut,220.0,floral,0.19504
330,474,45,feta cheese,Chestnut,120.0,milky,0.10638
331,484,45,foliage,Chestnut,200.0,floral,0.1773
332,556,45,ketone,Chestnut,260.0,chemical,0.2305
333,570,45,lemon peel,Chestnut,220.0,fruity,0.19504
334,446,47,diphenyl oxide,Chickpea,3084.25,green,0.1034
335,465,47,everlasting,Chickpea,5089.0,floral,0.17061
336,474,47,feta cheese,Chickpea,6531.25,milky,0.21896
337,484,47,foliage,Chickpea,4832.25,floral,0.162
338,556,47,ketone,Chickpea,5049.0,chemical,0.16927
339,570,47,lemon peel,Chickpea,5243.0,fruity,0.17577
340,446,48,diphenyl oxide,Endive,542.05,green,0.11889
341,465,48,everlasting,Endive,853.75,floral,0.18725
342,474,48,feta cheese,Endive,727.75,milky,0.15962
343,484,48,foliage,Endive,786.0,floral,0.17239
344,556,48,ketone,Endive,840.2,chemical,0.18428
345,570,48,lemon peel,Endive,799.5,fruity,0.17535
346,633,48,neroli,Endive,10.1,floral,0.00222
347,446,49,diphenyl oxide,Chicory,30.0,green,0.01639
348,465,49,everlasting,Chicory,876.5,floral,0.47888
349,474,49,feta cheese,Chicory,663.3,milky,0.3624
350,484,49,foliage,Chicory,48.0,floral,0.02623
351,556,49,ketone,Chicory,96.0,chemical,0.05245
352,570,49,lemon peel,Chicory,114.0,fruity,0.06228
353,633,49,neroli,Chicory,2.45,floral,0.00134
354,846,49,watercress,Chicory,0.05,fruity,3e-05
355,446,50,diphenyl oxide,Chinese cinnamon,136.0,green,0.09834
356,465,50,everlasting,Chinese cinnamon,224.0,floral,0.16197
357,474,50,feta cheese,Chinese cinnamon,243.0,milky,0.1757
358,484,50,foliage,Chinese cinnamon,195.0,floral,0.141
359,556,50,ketone,Chinese cinnamon,166.0,chemical,0.12003
360,570,50,lemon peel,Chinese cinnamon,419.0,fruity,0.30296
361,446,52,diphenyl oxide,Watermelon,2219.3,green,0.1426
362,465,52,everlasting,Watermelon,2820.5,floral,0.18123
363,474,52,feta cheese,Watermelon,2653.5,milky,0.1705
364,484,52,foliage,Watermelon,1816.8,floral,0.11674
365,556,52,ketone,Watermelon,3253.0,chemical,0.20902
366,570,52,lemon peel,Watermelon,2799.7,fruity,0.17989
367,633,52,neroli,Watermelon,0.45,floral,3e-05
368,446,54,diphenyl oxide,Lemon,20.0,green,0.06908
369,465,54,everlasting,Lemon,36.0,floral,0.12435
370,474,54,feta cheese,Lemon,25.0,milky,0.08635
371,484,54,foliage,Lemon,96.0,floral,0.33159
372,556,54,ketone,Lemon,58.0,chemical,0.20034
373,570,54,lemon peel,Lemon,52.0,fruity,0.17961
374,633,54,neroli,Lemon,0.03,floral,0.0001
375,678,54,plant,Lemon,2.4800000119999996,green,0.00857
376,446,58,diphenyl oxide,Coffee,659.0,green,0.09738
377,455,58,dusty,Coffee,294.0,smoky,0.04344
378,465,58,everlasting,Coffee,1083.0,floral,0.16004
379,474,58,feta cheese,Coffee,285.0,milky,0.04211
380,484,58,foliage,Coffee,1732.0,floral,0.25594
381,556,58,ketone,Coffee,1339.0,chemical,0.19786
382,570,58,lemon peel,Coffee,1374.0,fruity,0.20304
